id,state,fips,county,county_seat,population,land_area_km2,land_area_mi2,water_area_km2,water_area_mi2,total_area_km,total_area_mi2,latitude,longitude,conus,geometry
244,CA,6115,Yuba,Marysville,72155,1636.454,631.839,30.999000000000002,11.969000000000001,1667.453,643.808,39.270026,-121.34428,True,POINT (-121.34428 39.270026)
245,CO,8001,Adams,Brighton,441603,3024.208,1167.653,42.07,16.243,3066.278,1183.896,39.874325,-104.331872,True,POINT (-104.331872 39.874325)
246,CO,8003,Alamosa,Alamosa,15445,1871.6370000000002,722.643,1.808,0.698,1873.445,723.341,37.568442,-105.78804099999999,True,POINT (-105.788041 37.568442)
247,CO,8005,Arapahoe,Littleton,572003,2067.07,798.1,19.004,7.337000000000001,2086.074,805.437,39.644632,-104.331733,True,POINT (-104.331733 39.644632)
248,CO,8007,Archuleta,Pagosa Springs,12084,3496.938,1350.175,13.828,5.3389999999999995,3510.765,1355.514,37.202395,-107.05086299999999,True,POINT (-107.050863 37.202395)
249,CO,8009,Baca,Springfield,3788,6617.334,2554.967,6.142,2.372,6623.476,2557.339,37.303144,-102.535457,True,POINT (-102.535457 37.303144)
250,CO,8011,Bent,Las Animas,6499,3918.292,1512.861,73.094,28.221999999999998,3991.386,1541.0829999999999,37.931891,-103.077584,True,POINT (-103.077584 37.931891)
251,CO,8013,Boulder,Boulder,294567,1881.08,726.289,36.469,14.081,1917.549,740.37,40.094826,-105.39838200000001,True,POINT (-105.398382 40.094826)
252,CO,8014,Broomfield,Broomfield,55889,85.55799999999999,33.034,1.466,0.5660000000000001,87.024,33.6,39.953383,-105.052125,True,POINT (-105.052125 39.953383)
253,CO,8015,Chaffee,Salida,17809,2624.702,1013.403,4.013,1.55,2628.716,1014.953,38.738246000000004,-106.31697199999999,True,POINT (-106.316972 38.738246)
254,CO,8017,Cheyenne,Cheyenne Wells,1836,4605.713,1778.276,8.166,3.153,4613.879,1781.4289999999999,38.835387,-102.604585,True,POINT (-102.604585 38.835387)
255,CO,8019,Clear Creek,Georgetown,9088,1023.633,395.227,3.28,1.266,1026.913,396.49300000000005,39.689403000000006,-105.670791,True,POINT (-105.670791 39.68940300000001)
256,CO,8021,Conejos,Conejos,8256,3334.3259999999996,1287.391,9.235,3.5660000000000003,3343.5609999999997,1290.9569999999999,37.213407000000004,-106.176447,True,POINT (-106.176447 37.213407)
257,CO,8023,Costilla,San Luis,3524,3177.79,1226.952,8.829,3.409,3186.619,1230.361,37.277547,-105.42894,True,POINT (-105.42894 37.277547)
258,CO,8025,Crowley,Ordway,5823,2039.411,787.421,33.43,12.908,2072.842,800.329,38.321956,-103.787562,True,POINT (-103.787562 38.321956)
259,CO,8027,Custer,Westcliffe,4255,1913.031,738.625,3.365,1.2990000000000002,1916.396,739.924,38.101994,-105.373515,True,POINT (-105.373515 38.101994)
260,CO,8029,Delta,Delta,30952,2957.897,1142.05,16.961,6.5489999999999995,2974.8579999999997,1148.599,38.861756,-107.86475700000001,True,POINT (-107.864757 38.861756)
261,CO,8031,Denver,Denver,600158,396.269,153.0,4.225,1.631,400.494,154.631,39.761849,-104.880625,True,POINT (-104.880625 39.761849)
262,CO,8033,Dolores,Dove Creek,2064,2763.65,1067.0510000000002,2.716,1.0490000000000002,2766.366,1068.1,37.747602,-108.530383,True,POINT (-108.530383 37.747602)
263,CO,8035,Douglas,Castle Rock,285465,2176.232,840.248,6.789,2.6210000000000004,2183.022,842.8689999999999,39.326435,-104.926199,True,POINT (-104.926199 39.326435)
264,CO,8037,Eagle,Eagle,52197,4362.912,1684.53,18.805999999999997,7.261,4381.718,1691.7910000000002,39.630638,-106.692944,True,POINT (-106.692944 39.630638)
265,CO,8039,Elbert,Colorado Springs,23086,4793.670999999999,1850.8470000000002,0.442,0.171,4794.113,1851.0179999999998,39.310817,-104.117928,True,POINT (-104.117928 39.310817)
266,CO,8041,El Paso,Kiowa,622263,5508.39,2126.801,7.112,2.7460000000000004,5515.501,2129.547,38.827383000000005,-104.527472,True,POINT (-104.527472 38.827383)
267,CO,8043,Fremont,Cañon City,46824,3970.627,1533.068,2.235,0.863,3972.863,1533.931,38.455658,-105.421438,True,POINT (-105.421438 38.455658)
268,CO,8045,Garfield,Glenwood Springs,56389,7634.154,2947.563,21.430999999999997,8.274,7655.584,2955.837,39.599352,-107.90978,True,POINT (-107.90978 39.599352)
269,CO,8047,Gilpin,Central City,5441,388.22900000000004,149.89600000000002,0.9420000000000001,0.364,389.171,150.26,39.861082,-105.528947,True,POINT (-105.528947 39.861082)
270,CO,8049,Grand,Hot Sulphur Springs,14843,4781.972,1846.33,60.25,23.263,4842.222,1869.5929999999998,40.123289,-106.095876,True,POINT (-106.095876 40.123289)
271,CO,8051,Gunnison,Gunnison,15324,8389.229,3239.1,53.172,20.53,8442.401,3259.63,38.669678999999995,-107.07810800000001,True,POINT (-107.078108 38.669679)
272,CO,8053,Hinsdale,Lake City,843,2893.6679999999997,1117.251,15.325,5.917000000000001,2908.992,1123.1680000000001,37.811625,-107.38340500000001,True,POINT (-107.383405 37.811625)
273,CO,8055,Huerfano,Walsenburg,6711,4120.673,1591.001,5.792000000000001,2.2359999999999998,4126.465,1593.237,37.687815,-104.959928,True,POINT (-104.959928 37.687815)
274,CO,8057,Jackson,Walden,1394,4179.523,1613.723,18.75,7.239,4198.273,1620.9620000000002,40.663432,-106.32924799999999,True,POINT (-106.329248 40.663432)
275,CO,8059,Jefferson,Golden,534543,1979.29,764.2080000000001,25.445999999999998,9.825,2004.736,774.033,39.586459999999995,-105.24560100000001,True,POINT (-105.245601 39.58646)
276,CO,8061,Kiowa,Eads,1398,4578.496,1767.767,47.033,18.16,4625.529,1785.9270000000001,38.388465999999994,-102.75621,True,POINT (-102.75621 38.38846599999999)
277,CO,8063,Kit Carson,Burlington,8270,5596.5019999999995,2160.822,2.252,0.8690000000000001,5598.754,2161.6910000000003,39.30534,-102.603023,True,POINT (-102.603023 39.30534)
278,CO,8065,Lake,Durango,7310,976.194,376.911,18.124000000000002,6.997999999999999,994.319,383.909,39.204316,-106.349696,True,POINT (-106.349696 39.204316)
279,CO,8067,La Plata,Leadville,51334,4382.463,1692.078,19.76,7.629,4402.223,1699.707,37.287366999999996,-107.83971799999999,True,POINT (-107.839718 37.287367)
